0050	元大台灣50
0051	元大中型100
0052	富邦科技
0053	元大電子
0054	元大台商50
0055	元大MSCI金融
0056	元大高股息
0057	富邦摩台
0061	元大寶滬深
006203	元大MSCI台灣
006204	永豐臺灣加權
006205	富邦上証
006206	元大上證50
006207	FH滬深
006208	富邦台50
00625K	富邦上証+R
00631L	元大台灣50正2
00632R	元大台灣50反1
00633L	富邦上証正2
00634R	富邦上証反1
00635U	期元大S&P黃金
00636	國泰中國A50
00636K	國泰中國A50+U
00637L	元大滬深300正2
00638R	元大滬深300反1
00639	富邦深100
00640L	富邦日本正2
00641R	富邦日本反1
00642U	期元大S&P石油
00643	群益深証中小
00643K	群益深証中小+R
00645	富邦日本
00646	元大S&P500
00647L	元大S&P500正2
00648R	元大S&P500反1
00650L	FH香港正2
00651R	FH香港反1
00652	富邦印度
00653L	富邦印度正2
00654R	富邦印度反1
00655L	國泰中國A50正2
00656R	國泰中國A50反1
00657	國泰日經225
00657K	國泰日經225+U
00660	元大歐洲50
00661	元大日經225
00662	富邦NASDAQ
00663L	國泰臺灣加權正2
00664R	國泰臺灣加權反1
00665L	富邦恒生國企正2
00666R	富邦恒生國企反1
00668	國泰美國道瓊
00668K	國泰美國道瓊+U
00669R	國泰美國道瓊反1
00670L	富邦NASDAQ正2
00671R	富邦NASDAQ反1
00673R	期元大S&P原油反1
00674R	期元大S&P黃金反1
00675L	富邦臺灣加權正2
00676R	富邦臺灣加權反1
00678	群益NBI生技
00680L	元大美債20正2
00681R	元大美債20反1
00682U	期元大美元指數
00683L	期元大美元指正2
00684R	期元大美元指反1
00685L	群益臺灣加權正2
00686R	群益臺灣加權反1
00688L	國泰20年美債正2
00689R	國泰20年美債反1
00690	兆豐藍籌30
00692	富邦公司治理
00693U	期街口S&P黃豆
00700	富邦恒生國企
00701	國泰股利精選30
00702	國泰標普低波高息
00703	台新MSCI中國
00706L	期元大S&P日圓正2
00707R	期元大S&P日圓反1
00708L	期元大S&P黃金正2
00709	富邦歐洲
00710B	FH彭博高收益債
00711B	FH彭博新興債
00712	FH富時不動產
00713	元大台灣高息低波
00714	群益道瓊美國地產
00715L	期街口布蘭特正2
00717	富邦美國特別股
00728	第一金工業30
00730	富邦臺灣優質高息
00731	FH富時高息低波
00732	國泰RMB短期報酬
00733	富邦臺灣中小
00735	國泰臺韓科技
00736	國泰新興市場
00737	國泰AI+Robo
00738U	期元大道瓊白銀
00739	元大MSCI A股
00742	新光內需收益
00743	國泰中國A150
00752	中信中國50
00753L	中信中國50正2
00757	統一FANG+
00762	元大全球AI
00763U	期街口道瓊銅
00770	國泰北美科技
00771	元大US高息特別股
00774B	新光中國政金綠債
00774C	新光中政金綠債+R
00775B	新光投等債15+
00783	富邦中証500
008201	BP上證50
00830	國泰費城半導體
00850	元大臺灣ESG永續
00851	台新全球AI
00852L	國泰美國道瓊正2
00861	元大全球未來通訊
00865B	國泰US短期公債
00875	國泰網路資安
00876	元大未來關鍵科技
00878	國泰永續高股息
00881	國泰台灣5G+
